country,iso3,population,estimated_greywater_m3_year,greywater_tons_per_hour,reuse_efficiency_pct,estimated_reused_water_m3_year,reuse_effectiveness_class,untapped_reuse_m3_year,predicted_reuse_class
Africa Eastern and Southern,AFE,750491370,37524568500,4283626.54109589,33.090508913552185,12417070684.264494,Moderate,25107497815.735504,Moderate
Africa Western and Central,AFW,509398589,25469929450,2907526.1929223742,76.30357298074371,19434466206.024685,Highly Effective,6035463243.975315,Highly Effective
Arab World,ARB,482105978,24105298900,2751746.4497716897,59.89954563585538,14438964515.264849,Good,9666334384.735151,Good
Caribbean small states,CSS,4519904,225995200,25798.53881278539,49.89938631477774,112770217.9008546,Good,113224982.0991454,Good
Central Europe and the Baltics,CEB,100183707,5009185350,571824.8116438356,16.70139803318274,836603983.523378,Low,4172581366.476622,Low
Euro area,EMU,349762722,17488136100,1996362.5684931509,16.699589025215197,2920446856.8702965,Low,14567689243.129704,Low
Europe & Central Asia,ECS,924773523,46238676150,5278387.688356164,9.35627091261496,4326215807.000681,Low,41912460342.99932,Low
Europe & Central Asia (excluding high income),ECA,248721385,12436069250,1419642.6084474886,69.96321093312014,8700673361.166391,Highly Effective,3735395888.8336086,Highly Effective
Europe & Central Asia (IDA & IBRD countries),TEC,458602212,22930110600,2617592.534246576,50.08362588074066,11484230806.944056,Good,11445879793.055944,Good
European Union,EUU,448897545,22444877250,2562200.599315068,58.10544333470341,13041695432.042488,Good,9403181817.957512,Good
Fragile and conflict affected situations,FCS,1057033168,52851658400,6033294.337899543,6.543837072185184,3458526415.643875,Low,49393131984.356125,Low
Heavily indebted poor countries (HIPC),HPC,917304254,45865212700,5235754.874429223,77.74323891214958,35657101886.926575,Highly Effective,10208110813.073423,Highly Effective
IBRD only,IBD,4952212190,247610609500,28266051.312785387,67.43319806003163,166971752721.7865,Highly Effective,80638856778.2135,Highly Effective
IDA blend,IDB,664395892,33219794600,3792213.99543379,20.92543330087071,6951385961.70925,Moderate,26268408638.29075,Moderate
IDA only,IDX,1241913429,62095671450,7088546.9691780815,18.636872540532547,11572691141.324358,Low,50522980308.67565,Low
IDA total,IDA,1906309321,95315466050,10880760.964611871,18.755338239007536,17876738051.763897,Low,77438727998.2361,Low
Latin America & Caribbean,LCN,657616517,32880825850,3753518.9326484017,27.81816822196533,9146843447.724464,Moderate,23733982402.275536,Moderate
Latin America & Caribbean (excluding high income),LAC,589889543,29494477150,3366949.446347032,44.35673237241784,13082786294.069431,Good,16411690855.930569,Good
Latin America & the Caribbean (IDA & IBRD countries),TLA,642397939,32119896950,3666654.902968037,37.39587639815869,12011516962.63794,Moderate,20108379987.36206,Moderate
Least developed countries: UN classification,LDC,1160824674,58041233700,6625711.609589041,26.842185514853146,15579535624.86346,Moderate,42461698075.13654,Moderate
"Middle East, North Africa, Afghanistan & Pakistan",MEA,797801454,39890072700,4553661.267123288,50.88896710417846,20299645974.13588,Good,19590426725.864124,Good
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,729077445,36453872250,4161400.941780822,15.462039548903135,5636512144.401626,Low,30817360105.598373,Low
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,723911670,36195583500,4131915.9246575343,26.91084864014136,9740538690.10098,Moderate,26455044809.899017,Moderate
North America,NAC,376954413,18847720650,2151566.284246576,32.47713824702688,6121200291.913933,Moderate,12726520358.086067,Moderate
OECD members,OED,1387897706,69394885300,7921790.55936073,39.205248816277695,27206437447.635517,Moderate,42188447852.36449,Moderate
Other small states,OSS,12822134,641106700,73185.69634703196,63.88819710447602,409591512.14600176,Highly Effective,231515187.85399824,Highly Effective
Pacific island small states,PSS,2689224,134461200,15349.45205479452,19.97553366187698,26859342.26816373,Low,107601857.73183627,Low
Post-demographic dividend,PST,1121315547,56065777350,6400202.893835616,43.56758288102087,24426504014.84988,Good,31639273335.150124,Good
Pre-demographic dividend,PRE,1078224044,53911202200,6154246.826484018,49.43109266465319,26648896316.110542,Good,27262305883.889454,Good
Small states,SST,20031262,1001563100,114333.68721461188,8.48378095399983,84970419.52009027,Low,916592680.4799098,Low
South Asia,SAS,1662580579,83129028950,9489615.17694064,50.56586389260788,42034911634.1036,Good,41094117315.8964,Good
South Asia (IDA & IBRD),TSA,1662580579,83129028950,9489615.17694064,17.789309276546867,14788080058.505682,Low,68340948891.49432,Low
Sub-Saharan Africa,SSF,1259889959,62994497950,7191152.734018265,9.878869473895964,6223144228.216569,Low,56771353721.78343,Low
Sub-Saharan Africa (excluding high income),SSA,1131078494,56553924700,6455927.47716895,76.16641529399999,43075097152.05804,Highly Effective,13478827547.941963,Highly Effective
Sub-Saharan Africa (IDA & IBRD countries),TSS,1259889959,62994497950,7191152.734018265,77.42240248059196,48771853743.47725,Highly Effective,14222644206.52275,Highly Effective
Afghanistan,AFG,41454761,2072738050,236613.93264840185,65.62980110873458,1360333859.7200637,Highly Effective,712404190.2799363,Highly Effective
Albania,ALB,2414095,120704750,13779.081050228311,27.8460326880028,33611484.14097206,Moderate,87093265.85902794,Moderate
Algeria,DZA,46164219,2308210950,263494.4006849315,12.325408550478793,284496429.79438776,Low,2023714520.205612,Low
American Samoa,ASM,47521,2376050,271.23858447488584,56.31747698841177,1338131.4119831575,Good,1037918.5880168424,Good
Andorra,AND,80856,4042800,461.5068493150685,38.0114370304701,1536726.376267845,Moderate,2506073.623732155,Moderate
